"ID","name.eng"
"care_for_yourself","Prendre soin de Vous-même"
"make_a_routine","Instaurer des habitudes pour passer du temps ensemble"
"help_children_cope","Aider les Enfants à Faire Face à une Crise"
"when_someone_dies","Aider nos Enfants lors du Décès d'une Personne"
"protect_sexual_violence","Protéger nos Enfants des Violences Sexuelles"
"keep_children_safe","Assurer la Sécurité des Enfants"
"prepare_to_travel","Préparer son Voyage"
"travel_safely","Voyager en toute Sécurité"
"protect_from_traffickers","Protégez Vos Enfants des Trafiquants"
"care_in_a_shelter","S'occuper de ses Enfants dans un Centre d'Hébergement"
